,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted,val_auc_with_features
0,0.001,0.001,400,10,0.1,32,random,1,1,False,32,False,0.0,mean,True,3,False,sum,0.926,True,0.928
1,0.001,0.001,400,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,False,sum,0.926,True,0.928
2,0.001,0.001,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,True,3,False,sum,0.927,True,0.922
4,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,True,3,False,sum,0.934,True,0.929
5,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,True,2,False,sum,0.928,True,0.925
7,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,False,2,False,mean,0.761,True,0.938
8,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,False,2,True,mean,0.755,True,0.896
9,0.001,0.01,400,10,0.1,32,random,1,1,False,64,False,0.0,sum,False,3,True,mean,0.841,True,0.898
10,0.001,0.01,400,10,0.1,32,random,1,1,False,128,False,0.0,sum,False,3,True,mean,0.833,True,0.894
15,0.001,0.01,300,10,0.1,16,random,1,1,False,128,True,0.5,sum,False,3,False,mean,0.748,True,0.641
18,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,mean,False,3,False,mean,0.718,True,0.945
20,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,mean,False,3,True,mean,0.736,True,0.873
21,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,sum,False,3,True,mean,0.787,True,0.879
23,0.001,0.001,300,10,0.1,16,random,1,1,False,128,True,0.3,sum,False,4,False,mean,0.744,True,0.945
27,0.001,0.001,300,10,0.1,128,random,1,1,False,128,False,0.3,sum,False,4,False,mean,0.884,True,0.945
28,0.001,0.001,300,10,0.1,128,random,1,1,False,16,False,0.3,sum,False,4,False,mean,0.833,True,0.878
29,0.001,0.001,300,10,0.1,128,random,1,1,False,16,False,0.0,sum,False,4,False,mean,0.851,True,0.917
33,0.001,0.001,400,10,0.1,128,random,1,1,False,16,False,0.5,sum,False,4,False,mean,0.821,True,0.862
35,0.001,0.001,400,10,0.1,128,random,2,1,False,16,False,0.5,sum,False,4,False,mean,0.813,True,0.864
36,0.001,0.001,400,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.749,True,0.845
37,0.001,0.001,500,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.802,True,0.87
38,0.001,0.001,500,10,0.1,128,random,2,1,sum,16,False,0.0,sum,False,4,False,mean,0.811,True,0.907
39,0.001,0.001,500,10,0.1,128,random,2,1,cat,16,False,0.0,sum,False,4,False,mean,0.827,True,0.921
40,0.001,0.001,400,10,0.1,128,random,2,1,cat,16,False,0.0,sum,False,4,False,mean,0.836,True,0.928
41,0.001,0.001,400,10,0.1,128,random,2,1,cat,16,False,0.0,mean,False,4,False,mean,0.818,True,0.918
43,0.001,0.001,400,10,0.1,128,random,2,1,cat,16,False,0.0,mean,True,4,False,sum,0.921,True,0.927
56,0.001,0.001,400,10,0.1,16,random,0,0,cat,128,False,0.5,mean,True,4,True,sum,0.91,True,0.906
57,0.001,0.001,400,10,0.1,16,random,0,1,cat,128,False,0.5,mean,True,4,True,sum,0.782,False,0.896
58,0.001,0.001,400,10,0.1,16,random,0,0,cat,128,False,0.5,sum,True,4,True,sum,0.866,False,0.912
59,0.001,0.001,400,10,0.1,16,random,0,0,cat,128,True,0.5,mean,True,4,True,sum,0.721,True,0.916
64,0.001,0.0001,400,10,0.1,16,random,0,1,cat,128,True,0.3,sum,True,4,True,max,0.888,True,0.901
67,0.001,0.0001,400,10,0.1,16,random,0,1,sum,128,True,0.3,sum,True,4,True,max,0.899,True,0.904
68,0.001,0.0001,500,10,0.1,16,random,0,1,sum,128,True,0.3,sum,True,4,True,max,0.886,True,0.914
69,0.001,0.0001,500,10,0.1,16,random,0,1,sum,128,True,0.3,mean,True,4,True,max,0.868,True,0.911
70,0.001,0.0001,500,10,0.1,16,random,0,1,sum,128,True,0.3,mean,True,4,False,max,0.719,True,0.917
71,0.001,0.0001,500,10,0.1,16,random,0,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True,0.936
72,0.001,0.0001,500,10,0.1,16,random,1,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True,0.931
73,0.001,0.0001,500,10,0.1,16,random,1,2,sum,128,True,0.5,mean,True,4,False,max,0.823,True,0.861
87,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,True,mean,0.707,True,0.832
88,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,False,2,True,mean,0.701,True,0.805
91,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,False,2,True,sum,0.785,True,0.843
94,0.001,0.0001,300,10,0.1,128,random,0,0,sum,32,False,0.0,mean,True,2,False,sum,0.701,True,0.711
95,0.001,0.0001,300,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.871,True,0.885
96,0.001,0.0001,500,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.874,True,0.896
98,0.001,0.01,500,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.833,True,0.891
99,0.001,0.001,500,10,0.1,128,random,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.738,True,0.909
100,0.001,0.001,500,10,0.1,128,random,1,1,sum,32,False,0.0,mean,True,2,False,sum,0.816,True,0.908
101,0.001,0.001,500,10,0.1,128,random,1,1,sum,32,False,0.0,sum,True,2,False,sum,0.794,True,0.91
102,0.001,0.001,500,10,0.1,128,random,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.885,True,0.913
104,0.001,0.01,500,10,0.1,128,random,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.895,True,0.91
132,0.001,0.001,500,10,0.1,32,random,1,1,sum,16,False,0.5,sum,False,1,False,sum,0.745,True,0.68
174,0.001,0.0001,300,10,0.1,64,random,2,0,cat,128,True,0.3,mean,True,2,False,sum,0.847,True,0.902
175,0.001,0.0001,300,10,0.1,64,random,2,0,cat,64,True,0.3,mean,True,2,False,sum,0.867,True,0.891
176,0.001,0.0001,300,10,0.1,64,random,2,0,cat,32,True,0.3,mean,True,2,False,sum,0.863,True,0.891
177,0.001,0.0001,300,10,0.1,64,random,2,0,cat,32,True,0.3,mean,True,2,False,max,0.816,True,0.857
178,0.001,0.0001,300,10,0.1,64,random,2,0,sum,32,True,0.3,mean,True,2,False,max,0.786,True,0.823
179,0.001,0.0001,300,10,0.1,64,random,2,0,sum,32,True,0.3,mean,True,3,False,max,0.821,True,0.843
180,0.001,0.0001,300,10,0.1,64,random,2,0,cat,32,True,0.3,mean,True,3,False,max,0.843,True,0.856
181,0.001,0.0001,300,10,0.1,64,random,2,2,cat,32,True,0.3,mean,True,3,False,max,0.816,True,0.844
182,0.001,0.0001,300,10,0.1,32,random,2,2,cat,32,True,0.3,mean,True,3,False,max,0.829,True,0.858
183,0.001,0.0001,300,10,0.1,32,random,2,2,cat,32,True,0.3,mean,True,3,True,max,0.824,True,0.83
184,0.001,0.0001,300,10,0.1,32,random,2,1,cat,32,True,0.3,mean,True,3,True,max,0.832,True,0.871
189,0.001,0.0001,400,10,0.1,32,random,2,1,cat,32,True,0.3,mean,False,3,True,max,0.753,True,0.86
190,0.001,0.0001,400,10,0.1,32,random,2,1,cat,32,True,0.3,mean,False,3,True,mean,0.714,False,0.804
192,0.001,0.0001,400,10,0.1,32,random,0,1,cat,32,True,0.3,sum,False,3,True,max,0.828,True,0.889
193,0.001,0.0001,400,10,0.1,32,random,0,0,cat,32,True,0.3,sum,False,3,True,max,0.836,True,0.895
197,0.001,0.0001,300,10,0.1,32,random,1,0,cat,32,True,0.3,sum,True,3,False,max,0.847,True,0.863
198,0.001,0.01,300,10,0.1,32,random,1,0,cat,32,True,0.3,sum,True,3,False,max,0.716,True,0.894
199,0.001,0.001,300,10,0.1,32,random,1,0,cat,32,True,0.3,sum,True,3,False,max,0.759,True,0.885
201,0.001,0.001,300,10,0.1,32,random,1,1,cat,32,True,0.3,mean,True,3,False,max,0.782,True,0.913
203,0.001,0.001,300,10,0.1,32,random,0,1,cat,32,True,0.3,mean,True,3,False,max,0.86,True,0.923
204,0.001,0.01,300,10,0.1,32,random,0,1,cat,32,True,0.3,mean,True,3,False,max,0.883,True,0.931
212,0.001,0.01,300,10,0.1,32,random,0,1,cat,32,False,0.0,mean,False,3,True,max,0.763,True,0.886
213,0.001,0.01,500,10,0.1,32,random,0,1,cat,32,False,0.0,mean,False,3,True,max,0.792,True,0.891
214,0.001,0.01,500,10,0.1,16,random,0,1,cat,32,False,0.0,mean,False,3,True,max,0.723,True,0.895
215,0.001,0.01,500,10,0.1,16,random,0,1,cat,32,False,0.0,mean,False,3,False,max,0.806,True,0.947
216,0.001,0.001,500,10,0.1,16,random,0,1,cat,32,False,0.0,mean,False,3,False,max,0.785,True,0.931
224,0.001,0.001,500,10,0.1,16,random,0,1,cat,32,False,0.5,mean,False,4,False,sum,0.808,True,0.539
228,0.001,0.001,500,10,0.1,128,random,0,1,cat,64,True,0.5,mean,False,4,False,sum,0.726,True,0.924
233,0.001,0.001,300,10,0.1,128,random,0,1,cat,64,True,0.0,mean,False,4,False,sum,0.833,True,0.89
234,0.001,0.001,300,10,0.1,128,random,0,1,cat,64,True,0.0,mean,False,4,False,max,0.836,True,0.944
235,0.001,0.001,300,10,0.1,128,random,1,1,cat,64,True,0.0,mean,False,4,False,max,0.818,True,0.92
237,0.001,0.001,400,10,0.1,128,random,1,1,False,64,True,0.0,mean,False,4,False,max,0.845,True,0.896
242,0.001,0.001,300,10,0.1,128,random,1,1,sum,64,True,0.3,sum,True,4,False,max,0.731,True,0.719
259,0.001,0.001,300,10,0.1,16,random,0,0,sum,32,False,0.0,sum,True,4,True,mean,0.79,True,0.904
260,0.001,0.001,300,10,0.1,16,random,0,1,sum,32,False,0.0,sum,True,4,True,mean,0.813,True,0.898
262,0.001,0.0001,300,10,0.1,16,random,0,1,sum,32,False,0.0,mean,True,4,True,mean,0.745,True,0.876
264,0.001,0.0001,300,10,0.1,16,random,0,1,sum,32,False,0.5,mean,True,4,True,sum,0.813,True,0.864
265,0.001,0.01,300,10,0.1,16,random,0,1,sum,32,False,0.5,mean,True,4,True,sum,0.837,True,0.896
267,0.001,0.0001,300,10,0.1,16,random,0,1,False,32,False,0.5,mean,True,4,True,sum,0.857,True,0.848
268,0.001,0.0001,400,10,0.1,16,random,0,1,False,32,False,0.5,mean,True,4,True,sum,0.847,True,0.863
269,0.001,0.0001,400,10,0.1,16,random,0,1,False,32,False,0.5,sum,True,4,True,sum,0.864,True,0.865
270,0.001,0.0001,400,10,0.1,16,random,0,1,False,32,False,0.5,sum,True,4,False,sum,0.828,True,0.855
271,0.001,0.0001,400,10,0.1,16,random,0,2,False,32,False,0.5,sum,True,4,False,sum,0.75,True,0.721
272,0.001,0.0001,400,10,0.1,16,random,1,2,False,32,False,0.5,sum,True,4,False,sum,0.768,True,0.752
273,0.001,0.0001,400,10,0.1,16,random,1,2,False,32,False,0.0,sum,True,4,False,sum,0.834,True,0.861
274,0.001,0.0001,400,10,0.1,16,random,1,2,False,32,False,0.0,sum,True,1,False,sum,0.714,True,0.78
275,0.001,0.0001,400,10,0.1,16,random,1,2,False,16,False,0.0,sum,True,1,False,sum,0.703,True,0.685
277,0.001,0.0001,400,10,0.1,16,random,1,2,False,128,False,0.0,sum,True,1,False,max,0.705,True,0.896
278,0.001,0.0001,400,10,0.1,16,random,1,2,cat,128,False,0.0,sum,True,1,False,max,0.764,True,0.878
279,0.001,0.0001,400,10,0.1,16,random,1,2,cat,128,False,0.0,sum,True,2,False,max,0.8,True,0.899
280,0.001,0.0001,400,10,0.1,16,random,1,2,False,128,False,0.0,sum,True,2,False,max,0.825,True,0.897
281,0.001,0.0001,400,10,0.1,16,random,1,1,False,128,False,0.0,sum,True,2,False,max,0.872,True,0.914
282,0.001,0.0001,400,10,0.1,128,random,1,1,False,128,False,0.0,sum,True,2,False,max,0.761,True,0.91
283,0.001,0.0001,400,10,0.1,128,random,1,1,False,128,False,0.0,sum,True,2,True,max,0.841,True,0.903
284,0.001,0.0001,400,10,0.1,128,random,1,0,False,128,False,0.0,sum,True,2,True,max,0.83,True,0.908
285,0.001,0.0001,400,10,0.1,128,random,1,0,False,128,True,0.0,sum,True,2,True,max,0.797,True,0.887
290,0.001,0.0001,500,10,0.1,128,random,1,0,False,128,False,0.3,sum,False,2,True,mean,0.725,True,0.89
323,0.001,0.001,300,10,0.1,64,random,0,1,False,32,False,0.5,mean,True,3,False,mean,0.719,True,0.905
333,0.001,0.001,400,10,0.1,32,random,0,1,False,64,True,0.0,mean,True,4,False,sum,0.807,True,0.909
334,0.001,0.001,400,10,0.1,32,random,0,1,False,64,True,0.0,mean,True,4,False,max,0.759,True,0.896
338,0.001,0.001,500,10,0.1,32,random,1,1,sum,64,True,0.3,mean,True,4,False,max,0.741,True,0.909
341,0.001,0.001,400,10,0.1,32,random,1,1,cat,64,True,0.3,sum,True,4,False,max,0.763,True,0.903
343,0.001,0.001,400,10,0.1,32,random,1,1,cat,64,True,0.3,sum,False,4,False,mean,0.826,True,0.945
359,0.001,0.001,400,10,0.1,64,random,0,1,cat,64,False,0.0,sum,False,4,True,mean,0.707,True,0.875
360,0.001,0.001,400,10,0.1,64,random,0,2,cat,64,False,0.0,sum,False,4,True,mean,0.778,True,0.88
379,0.001,0.0001,500,10,0.1,64,random,1,0,False,32,False,0.0,sum,False,2,False,max,0.749,True,0.908
380,0.001,0.0001,500,10,0.1,64,random,1,0,sum,32,False,0.0,sum,False,2,False,max,0.783,True,0.9
381,0.001,0.0001,500,10,0.1,64,random,1,2,sum,32,False,0.0,sum,False,2,False,max,0.705,True,0.895
382,0.001,0.0001,500,10,0.1,32,random,1,2,sum,32,False,0.0,sum,False,2,False,max,0.765,True,0.901
383,0.001,0.0001,500,10,0.1,32,random,1,2,sum,32,False,0.0,sum,False,2,True,max,0.773,True,0.88
384,0.001,0.0001,500,10,0.1,32,random,1,1,sum,32,False,0.0,sum,False,2,True,max,0.803,True,0.88
385,0.001,0.0001,500,10,0.1,32,random,1,1,sum,32,True,0.0,sum,False,2,True,max,0.701,True,0.866
386,0.001,0.0001,300,10,0.1,32,random,1,1,sum,32,True,0.0,sum,False,2,True,max,0.727,True,0.861
387,0.001,0.0001,300,10,0.1,32,random,1,1,sum,32,True,0.3,sum,False,2,True,max,0.733,True,0.81
388,0.001,0.0001,300,10,0.1,32,random,1,1,sum,32,True,0.3,sum,True,2,True,max,0.742,True,0.788
409,0.001,0.001,500,10,0.1,32,random,1,2,sum,64,True,0.3,mean,False,2,True,max,0.716,True,0.867
410,0.001,0.001,500,10,0.1,32,random,1,2,sum,128,True,0.3,mean,False,2,True,max,0.726,True,0.866
412,0.001,0.001,500,10,0.1,32,random,1,2,sum,128,False,0.0,mean,False,2,True,max,0.823,True,0.887
414,0.001,0.001,400,10,0.1,16,random,1,2,sum,128,False,0.0,mean,False,2,True,max,0.82,True,0.894
415,0.001,0.001,400,10,0.1,16,random,1,2,sum,128,False,0.0,mean,False,2,False,max,0.813,True,0.931
416,0.001,0.0001,400,10,0.1,16,random,1,2,sum,128,False,0.0,mean,False,2,False,max,0.753,True,0.912
445,0.001,0.001,500,10,0.1,128,random,2,2,False,16,True,0.0,sum,True,2,False,max,0.7,True,0.539
446,0.001,0.001,500,10,0.1,128,random,0,2,False,16,True,0.0,sum,True,2,False,max,0.71,True,0.909
447,0.001,0.001,500,10,0.1,128,random,0,1,False,16,True,0.0,sum,True,2,False,max,0.73,True,0.888
448,0.001,0.001,500,10,0.1,128,random,0,1,False,128,True,0.0,sum,True,2,False,max,0.707,True,0.911
450,0.001,0.0001,500,10,0.1,128,random,0,1,False,128,True,0.0,sum,True,2,True,max,0.795,True,0.903
451,0.001,0.0001,500,10,0.1,128,random,0,1,False,128,True,0.0,sum,True,2,False,max,0.775,True,0.91
453,0.001,0.0001,500,10,0.1,16,random,0,1,False,128,True,0.0,sum,True,2,False,max,0.831,True,0.913
454,0.001,0.0001,500,10,0.1,16,random,0,1,False,128,True,0.5,sum,True,2,False,max,0.793,True,0.902
455,0.001,0.0001,500,10,0.1,16,random,0,1,False,128,True,0.5,sum,True,2,True,max,0.835,True,0.905
463,0.001,0.01,500,10,0.1,16,random,0,2,False,128,False,0.3,sum,True,1,True,max,0.735,True,0.861
466,0.001,0.001,500,10,0.1,16,random,0,2,cat,128,False,0.3,sum,True,1,True,max,0.738,True,0.865
467,0.001,0.01,500,10,0.1,16,random,0,2,cat,128,False,0.3,sum,True,1,True,max,0.742,True,0.866
469,0.001,0.01,300,10,0.1,16,random,0,2,cat,128,False,0.3,mean,True,1,True,max,0.727,True,0.861
477,0.001,0.01,300,10,0.1,16,random,1,0,cat,32,False,0.5,mean,True,2,False,mean,0.701,True,0.888
478,0.001,0.01,300,10,0.1,16,random,1,0,sum,32,False,0.5,mean,True,2,False,mean,0.712,True,0.888
479,0.001,0.01,300,10,0.1,16,random,1,0,sum,32,False,0.5,mean,True,3,False,mean,0.774,True,0.901
480,0.001,0.01,300,10,0.1,16,random,1,0,cat,32,False,0.5,mean,True,3,False,mean,0.736,True,0.892
490,0.001,0.01,400,10,0.1,128,random,1,2,cat,32,False,0.0,mean,False,3,True,sum,0.892,True,0.893
491,0.001,0.01,400,10,0.1,128,random,1,2,cat,32,True,0.0,mean,False,3,True,sum,0.717,True,0.845
494,0.001,0.01,400,10,0.1,128,random,0,2,cat,32,True,0.0,mean,True,3,False,sum,0.795,True,0.929
495,0.001,0.01,400,10,0.1,128,random,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.868,True,0.903
496,0.001,0.01,300,10,0.1,128,random,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.883,True,0.892
497,0.001,0.01,300,10,0.1,128,random,1,2,cat,32,True,0.0,mean,False,3,False,sum,0.839,False,0.858
498,0.001,0.001,300,10,0.1,128,random,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.803,True,0.918
499,0.001,0.0001,300,10,0.1,128,random,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.793,True,0.903
500,0.001,0.0001,300,10,0.1,128,random,1,0,cat,32,True,0.0,mean,True,3,False,sum,0.862,True,0.868
501,0.001,0.0001,300,10,0.1,128,random,1,0,cat,32,True,0.0,sum,True,3,False,sum,0.859,True,0.896
502,0.001,0.0001,300,10,0.1,128,random,1,0,cat,64,True,0.0,sum,True,3,False,sum,0.757,True,0.884
505,0.001,0.0001,300,10,0.1,128,random,1,0,cat,64,True,0.0,sum,True,2,False,sum,0.824,True,0.885
511,0.001,0.0001,300,10,0.1,128,random,1,0,cat,64,False,0.0,sum,False,3,True,mean,0.743,True,0.899
512,0.001,0.0001,300,10,0.1,128,random,1,0,cat,64,False,0.5,sum,False,3,True,mean,0.722,True,0.839
513,0.001,0.0001,500,10,0.1,128,random,1,0,cat,64,False,0.5,sum,False,3,True,mean,0.737,True,0.878
514,0.001,0.0001,500,10,0.1,64,random,1,0,cat,64,False,0.5,sum,False,3,True,mean,0.738,True,0.876
515,0.001,0.0001,500,10,0.1,64,random,1,0,cat,64,False,0.5,sum,False,3,False,mean,0.755,True,0.901
516,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.5,sum,False,3,False,mean,0.752,True,0.929
517,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.3,sum,False,3,False,mean,0.788,True,0.942
518,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.3,mean,False,3,False,mean,0.816,True,0.932
519,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.0,mean,False,3,False,mean,0.822,True,0.939
520,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.0,mean,False,3,True,mean,0.724,True,0.898
521,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.0,sum,False,3,True,mean,0.734,True,0.905
522,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.0,sum,False,4,True,mean,0.818,True,0.898
523,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.0,sum,False,4,False,mean,0.751,True,0.945
524,0.001,0.01,500,10,0.1,64,random,1,0,cat,64,False,0.0,sum,False,4,False,max,0.795,True,0.577
525,0.001,0.01,500,10,0.1,32,random,1,0,cat,64,False,0.0,sum,False,4,False,max,0.766,True,0.939
545,0.001,0.0001,300,10,0.1,32,random,2,0,sum,128,True,0.5,mean,True,2,False,sum,0.87,True,0.894
547,0.001,0.0001,300,10,0.1,32,random,2,2,sum,128,True,0.5,mean,True,2,False,sum,0.846,True,0.86
548,0.001,0.0001,300,10,0.1,32,random,2,2,sum,64,True,0.5,mean,True,2,False,sum,0.829,True,0.843
549,0.001,0.0001,300,10,0.1,32,random,2,2,sum,64,True,0.5,mean,True,2,True,sum,0.84,True,0.84
566,0.001,0.0001,300,10,0.1,64,random,0,1,False,64,False,0.0,mean,True,1,True,max,0.708,True,0.862
582,0.001,0.001,400,10,0.1,32,random,1,1,False,32,False,0.3,sum,True,2,False,mean,0.757,True,0.917
583,0.001,0.001,400,10,0.1,32,random,1,1,False,32,False,0.3,sum,True,2,True,mean,0.76,True,0.896
584,0.001,0.001,400,10,0.1,32,random,1,0,False,32,False,0.3,sum,True,2,True,mean,0.749,True,0.907
589,0.001,0.001,500,10,0.1,32,random,1,0,False,32,False,0.3,sum,False,2,True,mean,0.736,True,0.903
590,0.001,0.001,500,10,0.1,32,random,1,0,False,32,False,0.3,sum,False,2,True,sum,0.867,True,0.904
593,0.001,0.001,500,10,0.1,32,random,0,0,False,32,True,0.3,sum,True,2,True,sum,0.758,True,0.868
596,0.001,0.001,400,10,0.1,32,random,1,0,False,32,True,0.3,sum,True,2,False,sum,0.734,True,0.852
598,0.001,0.0001,400,10,0.1,32,random,1,0,False,32,True,0.3,sum,True,2,False,sum,0.859,True,0.888
604,0.001,0.0001,400,10,0.1,32,random,1,1,False,64,True,0.3,mean,True,2,False,sum,0.763,True,0.878
609,0.001,0.0001,400,10,0.1,32,random,1,1,False,64,True,0.3,mean,False,2,False,sum,0.807,True,0.725
610,0.001,0.0001,400,10,0.1,32,random,1,1,False,128,True,0.3,mean,False,2,False,sum,0.71,False,0.437
615,0.001,0.0001,300,10,0.1,16,random,1,1,False,64,False,0.0,mean,False,2,True,sum,0.861,True,0.884
616,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.0,mean,False,2,True,sum,0.9,True,0.909
617,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.5,mean,False,2,True,sum,0.878,True,0.887
618,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.5,sum,False,2,True,sum,0.854,True,0.865
619,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.3,sum,False,2,True,sum,0.892,True,0.901
621,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.3,mean,False,2,True,sum,0.873,True,0.892
622,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.3,mean,False,3,True,sum,0.832,True,0.853
624,0.001,0.01,300,10,0.1,16,random,1,1,False,64,False,0.3,mean,False,3,True,mean,0.814,True,0.864
625,0.001,0.01,300,10,0.1,128,random,1,1,False,64,False,0.3,mean,False,3,True,mean,0.814,True,0.861
637,0.001,0.01,500,10,0.1,128,random,2,1,sum,128,True,0.5,mean,False,4,True,sum,0.726,True,0.851
656,0.001,0.01,400,10,0.1,16,random,1,0,cat,64,True,0.5,sum,True,4,False,max,0.732,True,0.826
658,0.001,0.01,400,10,0.1,16,random,1,0,cat,64,True,0.5,mean,True,4,False,max,0.741,True,0.661
664,0.001,0.001,400,10,0.1,16,random,1,0,cat,64,False,0.3,sum,True,4,False,mean,0.875,True,0.918
