,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted,val_auc_with_features
665,0.001,0.0001,400,10,0.1,16,random,1,0,cat,64,False,0.3,sum,True,4,False,mean,0.793,True,0.885
666,0.001,0.0001,400,10,0.1,16,random,1,0,sum,64,False,0.3,sum,True,4,False,mean,0.76,True,0.846
667,0.001,0.001,400,10,0.1,16,random,1,0,sum,64,False,0.3,sum,True,4,False,mean,0.849,True,0.914
668,0.001,0.001,500,10,0.1,16,random,1,0,sum,64,False,0.3,sum,True,4,False,mean,0.857,True,0.913
669,0.001,0.001,500,10,0.1,16,random,1,0,sum,64,False,0.3,mean,True,4,False,mean,0.819,True,0.911
670,0.001,0.001,500,10,0.1,16,random,1,0,sum,64,False,0.3,mean,True,4,True,mean,0.819,True,0.898
671,0.001,0.001,500,10,0.1,16,random,1,1,sum,64,False,0.3,mean,True,4,True,mean,0.823,True,0.892
672,0.001,0.001,500,10,0.1,16,random,2,1,sum,64,False,0.3,mean,True,4,True,mean,0.822,True,0.901
673,0.001,0.001,500,10,0.1,16,random,2,1,sum,64,False,0.5,mean,True,4,True,mean,0.745,True,0.899
675,0.001,0.001,500,10,0.1,16,random,2,1,sum,32,False,0.5,mean,True,4,True,mean,0.728,True,0.878
676,0.001,0.001,500,10,0.1,16,random,2,1,sum,16,False,0.5,mean,True,4,True,mean,0.785,True,0.849
677,0.001,0.001,500,10,0.1,16,random,2,1,sum,16,False,0.5,mean,True,4,True,sum,0.876,True,0.886
678,0.001,0.001,500,10,0.1,16,random,2,1,False,16,False,0.5,mean,True,4,True,sum,0.877,True,0.879
679,0.001,0.001,500,10,0.1,16,random,2,1,False,16,False,0.5,mean,True,1,True,sum,0.748,True,0.828
680,0.001,0.001,500,10,0.1,16,random,2,1,sum,16,False,0.5,mean,True,1,True,sum,0.764,True,0.837
681,0.001,0.001,500,10,0.1,16,random,2,0,sum,16,False,0.5,mean,True,1,True,sum,0.73,True,0.835
683,0.001,0.001,500,10,0.1,128,random,2,0,sum,16,False,0.5,mean,True,1,False,sum,0.704,True,0.776
684,0.001,0.001,500,10,0.1,128,random,2,2,sum,16,False,0.5,mean,True,1,False,sum,0.723,True,0.852
689,0.001,0.001,300,10,0.1,128,random,2,2,sum,16,False,0.5,mean,False,1,False,sum,0.704,True,0.739
691,0.001,0.001,300,10,0.1,128,random,2,2,sum,16,False,0.5,sum,False,1,False,sum,0.718,True,0.764
693,0.001,0.001,300,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,1,False,sum,0.709,True,0.676
694,0.001,0.001,300,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,1,True,sum,0.751,True,0.829
696,0.001,0.001,500,10,0.1,128,random,2,1,sum,16,False,0.5,sum,False,1,True,sum,0.755,True,0.829
697,0.001,0.001,500,10,0.1,128,random,2,1,sum,16,False,0.5,sum,True,1,True,sum,0.758,True,0.84
699,0.001,0.01,500,10,0.1,128,random,2,1,sum,16,False,0.5,sum,True,1,True,sum,0.757,True,0.84
700,0.001,0.01,500,10,0.1,128,random,2,2,sum,16,False,0.5,sum,True,1,True,sum,0.759,True,0.813
701,0.001,0.01,500,10,0.1,128,random,2,2,sum,16,False,0.5,mean,True,1,True,sum,0.743,True,0.824
702,0.001,0.01,500,10,0.1,128,random,2,2,sum,32,False,0.5,mean,True,1,True,sum,0.771,True,0.844
705,0.001,0.01,500,10,0.1,128,random,2,2,sum,32,False,0.5,mean,True,4,True,sum,0.862,True,0.864
706,0.001,0.01,500,10,0.1,128,random,2,2,sum,32,False,0.5,mean,False,4,True,sum,0.874,True,0.798
707,0.001,0.01,500,10,0.1,128,random,2,2,sum,32,False,0.5,mean,False,4,True,mean,0.754,False,0.846
709,0.001,0.01,500,10,0.1,128,random,2,2,sum,32,False,0.5,mean,False,1,True,sum,0.785,True,0.847
710,0.001,0.01,500,10,0.1,128,random,2,2,sum,64,False,0.5,mean,False,1,True,sum,0.802,True,0.849
712,0.001,0.01,500,10,0.1,128,random,2,2,sum,64,False,0.3,mean,False,1,True,sum,0.792,True,0.861
713,0.001,0.01,400,10,0.1,128,random,2,2,sum,64,False,0.3,mean,False,1,True,sum,0.796,True,0.854
714,0.001,0.01,400,10,0.1,64,random,2,2,sum,64,False,0.3,mean,False,1,True,sum,0.814,True,0.859
716,0.001,0.001,400,10,0.1,64,random,2,2,sum,64,False,0.3,mean,False,1,True,sum,0.8,True,0.86
719,0.001,0.001,400,10,0.1,64,random,2,2,sum,64,False,0.5,sum,False,1,True,sum,0.813,True,0.859
721,0.001,0.001,400,10,0.1,64,random,2,2,sum,64,False,0.5,mean,False,1,True,sum,0.796,True,0.856
722,0.001,0.001,400,10,0.1,64,random,2,2,sum,64,False,0.5,mean,False,2,True,sum,0.858,True,0.886
723,0.001,0.001,400,10,0.1,64,random,2,2,sum,64,False,0.5,mean,False,2,False,sum,0.861,True,0.871
725,0.001,0.001,400,10,0.1,32,random,2,2,sum,64,False,0.5,mean,False,2,False,sum,0.846,True,0.871
726,0.001,0.001,400,10,0.1,32,random,2,2,sum,64,False,0.5,mean,False,2,False,mean,0.74,False,0.897
728,0.001,0.001,400,10,0.1,32,random,2,2,sum,128,True,0.5,mean,False,2,False,sum,0.781,True,0.874
729,0.001,0.001,400,10,0.1,32,random,2,2,sum,128,True,0.3,mean,False,2,False,sum,0.781,True,0.912
730,0.001,0.001,500,10,0.1,32,random,2,2,sum,128,True,0.3,mean,False,2,False,sum,0.803,True,0.49
731,0.001,0.001,500,10,0.1,32,random,2,2,sum,128,True,0.3,mean,False,3,False,sum,0.873,True,0.857
732,0.001,0.001,500,10,0.1,32,random,2,2,sum,128,True,0.3,mean,False,4,False,sum,0.871,True,0.923
733,0.001,0.001,500,10,0.1,32,random,2,2,sum,128,True,0.0,mean,False,4,False,sum,0.783,True,0.79
735,0.001,0.001,500,10,0.1,32,random,0,2,sum,128,True,0.0,mean,False,4,False,sum,0.705,True,0.852
736,0.001,0.001,500,10,0.1,32,random,0,2,cat,128,True,0.0,mean,False,4,False,sum,0.771,True,0.895
743,0.001,0.001,400,10,0.1,32,random,0,2,False,128,True,0.3,sum,True,4,False,max,0.813,True,0.954
745,0.001,0.01,400,10,0.1,32,random,0,2,False,128,True,0.3,sum,True,4,False,max,0.812,True,0.74
748,0.001,0.01,400,10,0.1,32,random,0,2,False,64,True,0.3,sum,True,4,False,max,0.781,True,0.845
751,0.001,0.001,400,10,0.1,32,random,0,2,False,64,True,0.3,sum,True,4,False,max,0.814,True,0.946
753,0.001,0.001,400,10,0.1,64,random,0,2,False,64,True,0.3,sum,True,4,False,max,0.831,True,0.95
754,0.001,0.001,400,10,0.1,64,random,0,2,False,64,True,0.0,sum,True,4,False,max,0.848,True,0.934
755,0.001,0.001,400,10,0.1,64,random,0,2,False,64,True,0.0,sum,True,4,True,max,0.751,True,0.854
759,0.001,0.001,400,10,0.1,64,random,0,2,False,64,False,0.0,mean,True,3,True,max,0.825,True,0.845
760,0.001,0.001,400,10,0.1,64,random,0,0,False,64,False,0.0,mean,True,3,True,max,0.841,True,0.874
761,0.001,0.001,400,10,0.1,64,random,0,0,False,64,False,0.0,sum,True,3,True,max,0.777,True,0.877
762,0.001,0.0001,400,10,0.1,64,random,0,0,False,64,False,0.0,sum,True,3,True,max,0.873,True,0.909
766,0.001,0.01,400,10,0.1,64,random,0,0,cat,64,False,0.0,sum,True,3,True,max,0.7,True,0.883
767,0.001,0.0001,400,10,0.1,64,random,0,0,cat,64,False,0.0,sum,True,3,True,max,0.87,True,0.908
768,0.001,0.0001,500,10,0.1,64,random,0,0,cat,64,False,0.0,sum,True,3,True,max,0.871,True,0.909
769,0.001,0.0001,500,10,0.1,64,random,0,0,cat,64,False,0.0,mean,True,3,True,max,0.865,True,0.911
770,0.001,0.0001,500,10,0.1,64,random,0,0,cat,64,False,0.0,mean,True,3,False,max,0.872,True,0.91
771,0.001,0.0001,500,10,0.1,64,random,0,1,cat,64,False,0.0,mean,True,3,False,max,0.841,True,0.902
772,0.001,0.0001,500,10,0.1,64,random,1,1,cat,64,False,0.0,mean,True,3,False,max,0.75,False,0.899
773,0.001,0.0001,500,10,0.1,64,random,0,1,cat,64,False,0.3,mean,True,3,False,max,0.854,True,0.894
774,0.001,0.0001,500,10,0.1,64,random,0,1,cat,64,False,0.3,mean,True,4,False,max,0.739,False,0.898
775,0.001,0.0001,500,10,0.1,64,random,0,1,cat,32,False,0.3,mean,True,3,False,max,0.782,False,0.873
776,0.001,0.0001,500,10,0.1,64,random,0,1,cat,32,False,0.3,mean,True,3,False,max,0.707,True,0.845
781,0.001,0.0001,500,10,0.1,64,random,0,0,cat,32,False,0.3,mean,True,4,False,mean,0.718,True,0.893
782,0.001,0.0001,500,10,0.1,32,random,0,0,cat,32,False,0.3,mean,True,4,False,mean,0.731,True,0.892
783,0.001,0.0001,500,10,0.1,32,random,0,0,cat,32,False,0.3,mean,True,4,True,mean,0.74,True,0.888
785,0.001,0.0001,500,10,0.1,32,random,0,0,cat,32,True,0.3,mean,True,4,True,mean,0.726,True,0.892
786,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,True,0.3,mean,True,4,True,mean,0.737,True,0.866
787,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,True,0.5,mean,True,4,True,mean,0.71,False,0.826
788,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,True,0.3,mean,False,4,True,mean,0.731,True,0.888
789,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,False,0.3,mean,False,4,True,mean,0.714,True,0.846
790,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,False,0.3,mean,False,4,True,sum,0.854,True,0.842
791,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,True,0.3,mean,False,4,True,sum,0.744,True,0.879
792,0.001,0.0001,300,10,0.1,32,random,2,0,cat,32,True,0.3,mean,False,4,True,sum,0.865,True,0.873
793,0.001,0.0001,300,10,0.1,32,random,2,0,cat,32,True,0.3,mean,True,4,True,sum,0.892,True,0.897
794,0.001,0.0001,300,10,0.1,32,random,2,0,cat,32,True,0.3,mean,True,4,False,sum,0.887,True,0.894
795,0.001,0.0001,300,10,0.1,32,random,0,0,cat,32,True,0.3,mean,True,4,False,sum,0.813,False,0.903
796,0.001,0.0001,500,10,0.1,32,random,2,0,cat,32,True,0.3,mean,True,4,False,sum,0.893,True,0.903
802,0.001,0.01,500,10,0.1,32,random,2,1,cat,64,True,0.3,sum,True,4,False,sum,0.718,True,0.833
804,0.001,0.0001,500,10,0.1,32,random,2,1,cat,64,True,0.3,sum,True,4,False,sum,0.896,True,0.902
805,0.001,0.0001,500,10,0.1,32,random,2,1,cat,64,True,0.3,sum,True,3,False,sum,0.885,True,0.897
806,0.001,0.0001,500,10,0.1,32,random,2,1,cat,64,True,0.3,sum,False,3,False,sum,0.727,True,0.448
808,0.001,0.0001,500,10,0.1,32,random,2,1,cat,64,True,0.3,sum,False,3,True,sum,0.869,True,0.885
809,0.001,0.0001,500,10,0.1,32,random,2,1,cat,64,True,0.3,sum,False,4,True,sum,0.875,True,0.89
810,0.001,0.0001,500,10,0.1,32,random,2,1,cat,128,True,0.3,sum,False,4,True,sum,0.884,True,0.899
811,0.001,0.0001,500,10,0.1,32,random,2,1,cat,128,False,0.3,sum,False,4,True,sum,0.871,True,0.872
812,0.001,0.0001,500,10,0.1,32,random,2,1,cat,128,False,0.0,sum,False,4,True,sum,0.881,True,0.895
813,0.001,0.0001,400,10,0.1,32,random,2,1,cat,128,False,0.0,sum,False,4,True,sum,0.885,True,0.89
814,0.001,0.0001,400,10,0.1,16,random,2,1,cat,128,False,0.0,sum,False,4,True,sum,0.885,True,0.89
816,0.001,0.01,400,10,0.1,16,random,2,1,cat,128,False,0.0,sum,False,4,True,sum,0.871,True,0.868
817,0.001,0.01,400,10,0.1,16,random,2,1,cat,128,False,0.5,sum,False,4,True,sum,0.808,True,0.823
818,0.001,0.01,400,10,0.1,16,random,2,1,cat,128,False,0.5,mean,False,4,True,sum,0.822,True,0.872
819,0.001,0.01,400,10,0.1,16,random,2,1,cat,128,False,0.3,mean,False,4,True,sum,0.886,True,0.887
821,0.001,0.01,400,10,0.1,16,random,2,1,cat,128,False,0.3,sum,False,4,True,sum,0.885,True,0.846
822,0.001,0.01,400,10,0.1,16,random,2,1,cat,128,False,0.3,sum,False,1,True,sum,0.775,True,0.888
825,0.001,0.01,400,10,0.1,128,random,2,1,cat,128,False,0.3,sum,False,1,True,sum,0.771,True,0.883
831,0.001,0.01,500,10,0.1,128,random,2,1,cat,16,True,0.0,sum,False,2,True,sum,0.704,True,0.579
838,0.001,0.01,300,10,0.1,128,random,0,1,False,16,True,0.0,sum,False,2,True,max,0.733,True,0.873
839,0.001,0.01,300,10,0.1,128,random,0,1,sum,16,True,0.0,sum,False,2,True,max,0.754,True,0.879
840,0.001,0.01,500,10,0.1,128,random,0,1,sum,16,True,0.0,sum,False,2,True,max,0.744,True,0.875
841,0.001,0.01,500,10,0.1,128,random,0,1,sum,16,True,0.0,mean,False,2,True,max,0.751,True,0.863
855,0.001,0.01,500,10,0.1,16,random,2,0,sum,16,True,0.5,mean,True,3,False,mean,0.818,True,0.886
857,0.001,0.01,500,10,0.1,16,random,2,1,sum,16,True,0.5,mean,True,3,False,mean,0.71,False,0.885
859,0.001,0.01,500,10,0.1,16,random,2,0,sum,16,False,0.5,mean,True,3,False,mean,0.785,True,0.883
860,0.001,0.01,500,10,0.1,16,random,2,1,sum,16,False,0.5,mean,True,3,False,mean,0.797,True,0.895
862,0.001,0.001,500,10,0.1,16,random,2,1,sum,16,False,0.5,mean,True,3,False,mean,0.762,True,0.868
863,0.001,0.001,500,10,0.1,16,random,2,1,sum,16,False,0.3,mean,True,3,False,mean,0.791,True,0.9
864,0.001,0.001,500,10,0.1,16,random,2,1,sum,16,False,0.3,mean,True,3,False,sum,0.905,True,0.907
865,0.001,0.0001,500,10,0.1,16,random,2,1,sum,16,False,0.3,mean,True,3,False,sum,0.807,True,0.819
866,0.001,0.0001,500,10,0.1,16,random,2,1,False,16,False,0.3,mean,True,3,False,sum,0.829,True,0.82
867,0.001,0.001,500,10,0.1,16,random,2,1,False,16,False,0.3,mean,True,3,False,sum,0.903,True,0.913
868,0.001,0.001,300,10,0.1,16,random,2,1,False,16,False,0.3,mean,True,3,False,sum,0.892,True,0.899
869,0.001,0.001,300,10,0.1,16,random,2,1,False,16,False,0.3,sum,True,3,False,sum,0.897,True,0.9
870,0.001,0.001,300,10,0.1,16,random,2,1,False,16,False,0.3,sum,True,3,True,sum,0.874,True,0.883
871,0.001,0.001,300,10,0.1,16,random,2,2,False,16,False,0.3,sum,True,3,True,sum,0.863,True,0.874
873,0.001,0.001,300,10,0.1,16,random,2,2,False,16,False,0.5,sum,True,3,True,sum,0.806,True,0.847
874,0.001,0.001,300,10,0.1,16,random,2,2,False,16,False,0.5,sum,True,4,True,sum,0.818,True,0.864
875,0.001,0.001,300,10,0.1,16,random,2,2,False,128,False,0.5,sum,True,4,True,sum,0.869,True,0.876
876,0.001,0.001,300,10,0.1,16,random,2,2,False,64,False,0.5,sum,True,4,True,sum,0.868,True,0.878
878,0.001,0.001,300,10,0.1,16,random,2,2,cat,64,False,0.5,sum,True,4,True,sum,0.872,True,0.861
879,0.001,0.001,300,10,0.1,16,random,2,2,cat,64,False,0.5,sum,True,1,True,sum,0.792,True,0.855
880,0.001,0.001,300,10,0.1,16,random,2,2,False,64,False,0.5,sum,True,1,True,sum,0.777,True,0.856
881,0.001,0.001,300,10,0.1,16,random,2,1,False,64,False,0.5,sum,True,1,True,sum,0.765,True,0.866
900,0.001,0.0001,300,10,0.1,128,random,1,2,False,64,False,0.0,sum,False,1,True,max,0.711,True,0.832
902,0.001,0.0001,300,10,0.1,128,random,1,2,False,128,False,0.0,sum,False,1,True,max,0.754,True,0.862
906,0.001,0.0001,300,10,0.1,128,random,1,2,False,128,False,0.0,sum,True,4,True,max,0.86,True,0.898
907,0.001,0.0001,300,10,0.1,128,random,1,2,False,128,False,0.0,sum,True,4,True,sum,0.908,True,0.908
908,0.001,0.0001,300,10,0.1,128,random,1,2,False,128,False,0.0,sum,True,4,False,sum,0.909,True,0.907
910,0.001,0.0001,300,10,0.1,128,random,1,2,False,16,False,0.0,sum,True,4,False,sum,0.704,False,0.735
911,0.001,0.0001,300,10,0.1,128,random,1,2,False,128,True,0.0,sum,True,4,False,sum,0.856,True,0.874
912,0.001,0.0001,300,10,0.1,128,random,1,2,False,128,True,0.5,sum,True,4,False,sum,0.865,True,0.882
913,0.001,0.0001,500,10,0.1,128,random,1,2,False,128,True,0.5,sum,True,4,False,sum,0.884,True,0.888
914,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.5,sum,True,4,False,sum,0.881,True,0.891
915,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.5,sum,True,4,True,sum,0.87,True,0.862
917,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.3,sum,True,4,True,sum,0.892,True,0.877
918,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.3,mean,True,4,True,sum,0.88,True,0.9
919,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.0,mean,True,4,True,sum,0.739,False,0.855
920,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.3,mean,True,4,False,sum,0.915,True,0.936
921,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.3,sum,True,4,False,sum,0.918,True,0.934
923,0.001,0.0001,500,10,0.1,64,random,1,2,False,128,True,0.3,sum,True,4,False,mean,0.762,False,0.747
924,0.001,0.0001,500,10,0.1,32,random,1,2,False,128,True,0.3,sum,True,4,False,sum,0.92,True,0.938
925,0.001,0.0001,500,10,0.1,32,random,1,2,False,128,True,0.3,sum,True,4,False,mean,0.728,False,0.778
926,0.001,0.0001,500,10,0.1,32,random,1,2,False,128,False,0.3,sum,True,4,False,sum,0.916,True,0.918
927,0.001,0.0001,500,10,0.1,32,random,1,2,False,16,False,0.3,sum,True,4,False,sum,0.736,True,0.733
928,0.001,0.0001,500,10,0.1,32,random,1,2,False,16,False,0.0,sum,True,4,False,sum,0.739,True,0.788
929,0.001,0.0001,300,10,0.1,32,random,1,2,False,16,False,0.0,sum,True,4,False,sum,0.724,True,0.673
930,0.001,0.0001,300,10,0.1,32,random,1,2,False,16,False,0.0,sum,True,1,False,sum,0.7,False,0.691
934,0.001,0.0001,300,10,0.1,32,random,2,2,False,16,False,0.0,sum,True,4,False,sum,0.735,True,0.742
935,0.001,0.0001,300,10,0.1,32,random,2,2,sum,16,False,0.0,sum,True,4,False,sum,0.712,True,0.73
936,0.001,0.0001,400,10,0.1,32,random,2,2,sum,16,False,0.0,sum,True,4,False,sum,0.754,True,0.73
937,0.001,0.0001,400,10,0.1,32,random,2,2,sum,16,False,0.3,sum,True,4,False,sum,0.711,True,0.727
938,0.001,0.0001,400,10,0.1,32,random,2,2,cat,16,False,0.3,sum,True,4,False,sum,0.734,True,0.72
939,0.001,0.0001,300,10,0.1,32,random,2,2,cat,16,False,0.3,sum,True,4,False,sum,0.722,True,0.711
940,0.001,0.0001,300,10,0.1,32,random,2,2,cat,16,False,0.3,mean,True,4,False,sum,0.729,True,0.698
945,0.001,0.001,300,10,0.1,32,random,2,2,cat,16,False,0.3,mean,True,4,False,sum,0.899,True,0.903
947,0.001,0.001,300,10,0.1,32,random,2,1,cat,16,False,0.3,mean,True,4,False,sum,0.908,True,0.914
948,0.001,0.001,300,10,0.1,32,random,2,1,cat,128,False,0.3,mean,True,4,False,sum,0.934,True,0.937
949,0.001,0.001,300,10,0.1,32,random,2,1,cat,128,False,0.3,mean,True,4,True,sum,0.909,True,0.916
950,0.001,0.0001,300,10,0.1,32,random,2,1,cat,128,False,0.3,mean,True,4,True,sum,0.899,True,0.902
951,0.001,0.0001,300,10,0.1,32,random,2,1,cat,128,False,0.3,mean,True,4,False,sum,0.903,True,0.903
952,0.001,0.0001,300,10,0.1,32,random,0,1,cat,128,False,0.3,mean,True,4,False,sum,0.82,False,0.903
953,0.001,0.0001,300,10,0.1,64,random,2,1,cat,128,False,0.3,mean,True,4,False,sum,0.904,True,0.903
954,0.001,0.0001,300,10,0.1,64,random,2,1,cat,128,False,0.0,mean,True,4,False,sum,0.909,True,0.913
955,0.001,0.0001,300,10,0.1,64,random,2,1,cat,128,False,0.0,mean,True,4,True,sum,0.913,True,0.915
956,0.001,0.0001,300,10,0.1,64,random,2,1,cat,128,False,0.0,mean,True,3,True,sum,0.905,True,0.914
957,0.001,0.0001,300,10,0.1,64,random,2,2,cat,128,False,0.0,mean,True,3,True,sum,0.899,False,0.908
958,0.001,0.0001,300,10,0.1,64,random,2,1,cat,128,False,0.0,sum,True,3,True,sum,0.907,True,0.915
960,0.001,0.0001,300,10,0.1,64,random,2,2,cat,128,False,0.0,sum,True,3,True,sum,0.905,True,0.905
961,0.001,0.0001,300,10,0.1,64,random,2,2,cat,128,False,0.0,mean,True,3,True,sum,0.897,True,0.908
962,0.001,0.01,300,10,0.1,64,random,2,2,cat,128,False,0.0,mean,True,3,True,sum,0.9,True,0.895
963,0.001,0.01,300,10,0.1,64,random,2,2,cat,128,False,0.5,mean,True,3,True,sum,0.877,True,0.872
965,0.001,0.001,300,10,0.1,64,random,2,2,cat,128,False,0.5,mean,True,3,True,sum,0.888,True,0.879
966,0.001,0.001,300,10,0.1,64,random,2,2,sum,128,False,0.5,mean,True,3,True,sum,0.874,True,0.872
967,0.001,0.01,300,10,0.1,64,random,2,2,sum,128,False,0.5,mean,True,3,True,sum,0.873,True,0.866
968,0.001,0.01,400,10,0.1,64,random,2,2,sum,128,False,0.5,mean,True,3,True,sum,0.887,True,0.86
969,0.001,0.01,400,10,0.1,64,random,2,2,sum,128,False,0.5,sum,True,3,True,sum,0.877,True,0.864
970,0.001,0.01,400,10,0.1,64,random,2,2,sum,128,False,0.5,sum,True,3,False,sum,0.913,True,0.928
971,0.001,0.01,400,10,0.1,64,random,2,0,sum,128,False,0.5,sum,True,3,False,sum,0.895,True,0.913
973,0.001,0.01,400,10,0.1,64,random,2,0,sum,128,False,0.0,sum,True,3,False,sum,0.909,True,0.919
974,0.001,0.01,400,10,0.1,64,random,2,0,sum,128,False,0.0,sum,True,4,False,sum,0.908,True,0.914
975,0.001,0.01,400,10,0.1,64,random,2,0,sum,64,False,0.0,sum,True,4,False,sum,0.911,True,0.919
976,0.001,0.01,400,10,0.1,64,random,2,0,sum,32,False,0.0,sum,True,4,False,sum,0.912,True,0.919
978,0.001,0.01,400,10,0.1,64,random,2,0,False,32,False,0.0,sum,True,4,False,sum,0.912,True,0.917
981,0.001,0.01,400,10,0.1,64,random,2,0,False,32,False,0.0,sum,True,3,False,sum,0.91,True,0.91
982,0.001,0.01,400,10,0.1,64,random,2,2,False,32,False,0.0,sum,True,3,False,sum,0.93,True,0.929
983,0.001,0.01,400,10,0.1,32,random,2,2,False,32,False,0.0,sum,True,3,False,sum,0.932,True,0.934
984,0.001,0.01,400,10,0.1,32,random,2,2,False,32,False,0.0,sum,True,3,True,sum,0.898,False,0.899
985,0.001,0.01,400,10,0.1,32,random,2,1,False,32,False,0.0,sum,True,3,False,sum,0.932,True,0.937
987,0.001,0.01,500,10,0.1,32,random,2,1,False,32,False,0.0,sum,True,3,False,sum,0.93,True,0.937
988,0.001,0.01,500,10,0.1,32,random,2,1,False,32,False,0.3,sum,True,3,False,sum,0.925,False,0.873
991,0.001,0.01,500,10,0.1,32,random,2,1,False,32,False,0.0,sum,True,3,False,max,0.807,False,0.928
993,0.001,0.01,500,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,False,sum,0.931,True,0.931
995,0.001,0.01,500,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,True,sum,0.901,False,0.901
996,0.001,0.01,500,10,0.1,32,random,1,0,False,32,False,0.0,sum,True,3,False,sum,0.906,False,0.905
997,0.001,0.01,500,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,False,max,0.839,False,0.915
998,0.001,0.01,500,10,0.1,32,random,1,1,False,32,False,0.0,mean,True,3,False,sum,0.929,False,0.931
999,0.001,0.001,500,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,False,sum,0.926,False,0.926
1000,0.001,0.001,500,10,0.1,32,random,1,1,False,32,False,0.0,sum,True,3,False,sum,0.923,False,0.925
1001,0.001,0.01,500,10,0.1,32,random,1,1,sum,32,False,0.0,sum,True,3,False,sum,0.932,True,0.933
